bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
1800,989.45,63833.86,64022.13333,-437.5,210,1.354
1801,990,63892.85,64082.2,-450.1,207.9,1.175
1802,990.55,63960.85,64146.26667,-442.7,209.2,1.243
1803,991.1,64025.16,64210.33333,-442.4,209.2,1.276
1804,991.65,64087.83,64274.4,-443.6,209,1.264
1805,992.2,64151.11,64336.7,-440.8,209.5,1.292
1806,992.75,64213.04,64399,-442.9,209.1,1.28
1807,993.3,64275.57,64461.3,-441.4,209.4,1.295
1808,993.85,64337.41,64521.1,-440.1,209.6,1.332
1809,994.4,64397.55,64580.9,-438,209.9,1.409
1810,994.95,64454.43,64640.7,-428.2,211.5,1.551
1811,995.5,64506.12,64693.76667,-427.8,211.6,1.557
1812,996.05,64557.63,64746.83333,-437.1,210.1,1.497
1813,996.6,64611.23,64799.9,-426.7,211.8,1.505
1814,997.15,64664.57,64856.03333,-440.3,209.5,1.409
1815,997.7,64721.55,64912.16667,-434.3,210.5,1.431
1816,998.25,64777.68,64968.3,-434.2,210.6,1.463
1817,998.8,64832.61,65023.1,-429.7,211.3,1.56
1818,999.35,64884.15,65077.9,-431.9,210.9,1.509
1819,999.9,64937.45,65132.7,-438.3,209.9,1.359
1820,1000.45,64996.66,65194.06667,-441.6,209.3,1.322
1821,1001,65057.54,65255.43333,-437.4,210,1.355
1822,1001.55,65116.96,65316.8,-439.8,209.6,1.334
1823,1002.1,65177.35,65380.16667,-443.1,209.1,1.276
1824,1002.65,65240.5,65443.53333,-439.4,209.7,1.345
1825,1003.2,65300.45,65506.9,-436.6,210.2,1.375
1826,1003.75,65359.1,65570,-440.1,209.6,1.335
1827,1004.3,65419.54,65633.1,-441.9,209.3,1.3
1828,1004.85,65481.62,65696.2,-437.6,210,1.366
1829,1005.4,65540.73,65759.96667,-442.7,209.2,1.301
1830,1005.95,65602.83,65823.73333,-437,210.1,1.342
1831,1006.5,65663.05,65887.5,-443.3,209.1,1.29
1832,1007.05,65725.72,65953.23333,-441.3,209.4,1.297
1833,1007.6,65788.09,66018.96667,-440.2,209.6,1.322
1834,1008.15,65849.3,66084.7,-440.6,209.5,1.349
1835,1008.7,65909.3,66146.46667,-433.5,210.7,1.435
1836,1009.25,65965.74,66208.23333,-434.2,210.6,1.418
1837,1009.8,66022.88,66270,-446,208.6,1.246
1838,1010.35,66087.94,66335.76667,-437.4,210,1.362
1839,1010.9,66147.48,66401.53333,-441.5,209.4,1.319
1840,1011.45,66208.99,66467.3,-439.3,209.7,1.323
1841,1012,66270.34,66534.2,-442.2,209.2,1.291
1842,1012.55,66333.24,66601.1,-443.9,209,1.26
1843,1013.1,66397.72,66668,-440.1,209.6,1.295
1844,1013.65,66460.48,66734.46667,-444.8,208.8,1.266
1845,1014.2,66524.7,66800.93333,-438.1,209.9,1.349
1846,1014.75,66584.99,66867.4,-441.4,209.4,1.292
1847,1015.3,66647.98,66935.26667,-443.6,209,1.255
1848,1015.85,66712.84,67003.13333,-445,208.8,1.24
1849,1016.4,66778.52,67071,-440.1,209.6,1.311
1850,1016.95,66840.67,67138.86667,-443.2,209.1,1.259
1851,1017.5,66905.41,67206.73333,-445,208.8,1.234
1852,1018.05,66971.49,67274.6,-444.4,208.9,1.237
1853,1018.6,67037.45,67343.53333,-442.5,209.2,1.261
1854,1019.15,67102.17,67412.46667,-446.4,208.5,1.223
1855,1019.7,67168.94,67481.4,-442.7,209.2,1.259
1856,1020.25,67233.83,67547.1,-442.2,209.2,1.287
1857,1020.8,67297.33,67612.8,-440.5,209.5,1.307
1858,1021.35,67359.89,67678.5,-441.8,209.3,1.32
